region,isos,source
global,kn,weo_2023
global,kr,weo_2023
global,mh,weo_2023
global,mp,weo_2023
global,nr,weo_2023
global,pr,weo_2023
global,sh,weo_2023
global,sm,weo_2023
global,sx,weo_2023
global,sz,weo_2023
global,tv,weo_2023
global,vi,weo_2023
global,wf,weo_2023
global,yt,weo_2023
brazil,br,weo_2023
india,in,weo_2023
japan,jp,weo_2023
united states,us,weo_2023
russia,ru,weo_2023
non oecd,ad,weo_2023
non oecd,as,weo_2023
non oecd,bl,weo_2023
non oecd,fm,weo_2023
non oecd,fo,weo_2023
non oecd,gg,weo_2023
non oecd,gl,weo_2023
non oecd,gu,weo_2023
non oecd,im,weo_2023
non oecd,je,weo_2023
non oecd,kn,weo_2023
non oecd,kr,weo_2023
non oecd,mh,weo_2023
non oecd,mp,weo_2023
non oecd,nr,weo_2023
non oecd,pr,weo_2023
non oecd,sh,weo_2023
non oecd,sm,weo_2023
