"","original_code","code_level","code","sector","borderline"
"147","Culture of freshwater  crustaceans (except prawns), bivalves, and  other mollusks",5,3251,"not in scope",FALSE
"148","Culture of   oysters, other  bivalves and other mollusks   in sea water",5,3252,"not in scope",FALSE
"149","Pearl culture",5,3261,"not in scope",FALSE
"150","Pearl shell gathering",5,3262,"not in scope",FALSE
"151","Gathering of laver and other edible seaweeds",5,3270,"not in scope",FALSE
"152","Support service activities incidental to aquaculture",5,3280,"not in scope",FALSE
"153","Frog farming",5,3291,"not in scope",FALSE
"154","Operation of marine  worm farms",5,3292,"not in scope",FALSE
"155","Other aquaculture  activities, n.e.c",5,3299,"not in scope",FALSE
"156","Mining of hard coal",5,5100,"coal",FALSE
"157","Mining of lignite",5,5200,"coal",FALSE
"158","Extraction of crude petroleum",5,6100,"oil and gas",FALSE
"159","Extraction of natural gas",5,6200,"oil and gas",FALSE
"160","Mining of iron ores",5,7100,"not in scope",FALSE
"161","Mining of uranium and thorium ores",5,7210,"not in scope",FALSE
"162","Gold ore mining",5,7221,"not in scope",FALSE
"163","Silver ore mining",5,7222,"not in scope",FALSE
"164","Copper ore mining",5,7291,"not in scope",FALSE
"165","Chromite ore mining",5,7292,"not in scope",FALSE
"166","Manganese ore mining",5,7293,"not in scope",FALSE
"167","Nickel ore mining",5,7294,"not in scope",FALSE
"168","Marble quarrying",5,8101,"not in scope",FALSE
"169","Limestone quarrying",5,8102,"not in scope",FALSE
"170","Stone quarrying, except limestone and marble",5,8103,"not in scope",FALSE
"171","Clay quarrying",5,8104,"not in scope",FALSE
"172","Sand and gravel quarrying",5,8105,"not in scope",FALSE
"173","Silica sand and silica stone quarrying",5,8106,"not in scope",FALSE
"174","Stone quarrying, clay and sand pits, n.e.c.",5,8109,"not in scope",FALSE
"175","Baryte mining",5,8911,"not in scope",FALSE
"176","Guano gathering",5,8912,"not in scope",FALSE
"177","Pyrite mining",5,8913,"not in scope",FALSE
"178","Rock phosphate mining",5,8914,"not in scope",FALSE
"179","Sulphur mining",5,8915,"not in scope",FALSE
"180","Other chemical and fertilizer mineral mining",5,8919,"not in scope",FALSE
"181","Extraction of peat",5,8920,"coal",FALSE
"182","Extraction of salt",5,8930,"not in scope",FALSE
"183","Other mining and quarrying, n.e.c.",5,8990,"not in scope",FALSE
"184","Oil and gas extraction activities on a fee or contract basis",5,9101,"oil and gas",FALSE
"185","Oil and gas extraction activities not performed on a fee or contract basis",5,9102,"oil and gas",FALSE
"186","Support activities for other mining and quarrying",5,9900,"not in scope",FALSE
"187","Slaughtering and meat packing",5,10110,"not in scope",FALSE
"188","Production processing and preserving of meat and meat products",5,10120,"not in scope",FALSE
"189","Canning/packing of fish and other marine products",5,10201,"not in scope",FALSE
"190","Drying of fish and other marine products",5,10202,"not in scope",FALSE
"191","Smoking of fish and other marine products",5,10203,"not in scope",FALSE
"192","Manufacture of fish paste (bagoong) and fish sauce(patis)",5,10204,"not in scope",FALSE
"193","Processing of seaweeds; manufacture of agar-agar or carageenan",5,10205,"not in scope",FALSE
"194","Production of fishmeal/prawn feeds",5,10206,"not in scope",FALSE
"195","Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",5,10207,"not in scope",FALSE
"196","Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. Manufacture of fishball, etc.",5,10209,"not in scope",FALSE
"197","Canning/packing and preserving of fruits and fruit juices",5,10301,"not in scope",FALSE
"198","Canning/packing and preserving of vegetables and vegetable juices",5,10302,"not in scope",FALSE
"199","Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste)",5,10303,"not in scope",FALSE
"200","Quick-freezing of fruits and vegetables",5,10304,"not in scope",FALSE
"201","Manufacture of potato flour and meal",5,10305,"not in scope",FALSE
"202","Roasting of nut or manufacture of nut foods and pastes",5,10306,"not in scope",FALSE
"203","Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",5,10307,"not in scope",FALSE
"204","Processing and preserving of fruits and vegetables, n.e.c.",5,10309,"not in scope",FALSE
"205","Manufacture of virgin coconut oil",5,10410,"not in scope",FALSE
"206","Manufacture of dessicated coconut",5,10420,"not in scope",FALSE
"207","Manufacture of nata de coco",5,10430,"not in scope",FALSE
"208","Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",5,10440,"not in scope",FALSE
"209","Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine",5,10450,"not in scope",FALSE
