region,value,type,source
sub saharan africa,km,country_name,weo_2020
sub saharan africa,dj,country_name,weo_2020
sub saharan africa,gq,country_name,weo_2020
sub saharan africa,gm,country_name,weo_2020
sub saharan africa,gn,country_name,weo_2020
sub saharan africa,gw,country_name,weo_2020
sub saharan africa,ls,country_name,weo_2020
sub saharan africa,lr,country_name,weo_2020
sub saharan africa,mg,country_name,weo_2020
sub saharan africa,mw,country_name,weo_2020
sub saharan africa,ml,country_name,weo_2020
sub saharan africa,mr,country_name,weo_2020
sub saharan africa,re,country_name,weo_2020
sub saharan africa,rw,country_name,weo_2020
sub saharan africa,st,country_name,weo_2020
sub saharan africa,sc,country_name,weo_2020
sub saharan africa,sl,country_name,weo_2020
sub saharan africa,so,country_name,weo_2020
sub saharan africa,ug,country_name,weo_2020
global,bg,country_name,weo_2020
global,hr,country_name,weo_2020
global,cy,country_name,weo_2020
global,mt,country_name,weo_2020
global,ro,country_name,weo_2020
global,au,country_name,weo_2020
global,at,country_name,weo_2020
global,be,country_name,weo_2020
global,ca,country_name,weo_2020
global,cl,country_name,weo_2020
global,cz,country_name,weo_2020
global,dk,country_name,weo_2020
global,ee,country_name,weo_2020
global,fi,country_name,weo_2020
global,fr,country_name,weo_2020
global,de,country_name,weo_2020
global,gr,country_name,weo_2020
global,hu,country_name,weo_2020
global,is,country_name,weo_2020
global,ie,country_name,weo_2020
global,il,country_name,weo_2020
global,it,country_name,weo_2020
global,jp,country_name,weo_2020
global,kp,country_name,weo_2020
global,lv,country_name,weo_2020
global,lt,country_name,weo_2020
global,lu,country_name,weo_2020
global,mx,country_name,weo_2020
global,nl,country_name,weo_2020
global,nz,country_name,weo_2020
global,no,country_name,weo_2020
global,pl,country_name,weo_2020
global,pt,country_name,weo_2020
global,sk,country_name,weo_2020
global,si,country_name,weo_2020
global,es,country_name,weo_2020
global,se,country_name,weo_2020
global,ch,country_name,weo_2020
global,tr,country_name,weo_2020
global,gb,country_name,weo_2020
global,us,country_name,weo_2020
global,dz,country_name,weo_2020
global,eg,country_name,weo_2020
global,ly,country_name,weo_2020
global,ma,country_name,weo_2020
global,tn,country_name,weo_2020
global,ao,country_name,weo_2020
global,bj,country_name,weo_2020
global,bw,country_name,weo_2020
global,cm,country_name,weo_2020
global,cg,country_name,weo_2020
global,ci,country_name,weo_2020
global,cd,country_name,weo_2020
global,er,country_name,weo_2020
global,et,country_name,weo_2020
global,ga,country_name,weo_2020
global,gh,country_name,weo_2020
global,ke,country_name,weo_2020
global,mu,country_name,weo_2020
global,mz,country_name,weo_2020
global,na,country_name,weo_2020
global,ne,country_name,weo_2020
global,ng,country_name,weo_2020
global,sn,country_name,weo_2020
global,za,country_name,weo_2020
global,ss,country_name,weo_2020
global,sd,country_name,weo_2020
global,tz,country_name,weo_2020
global,tg,country_name,weo_2020
global,zm,country_name,weo_2020
global,zw,country_name,weo_2020
global,bd,country_name,weo_2020
global,cn,country_name,weo_2020
global,in,country_name,weo_2020
global,mn,country_name,weo_2020
global,np,country_name,weo_2020
global,pk,country_name,weo_2020
global,lk,country_name,weo_2020
global,tw,country_name,weo_2020
global,bn,country_name,weo_2020
global,kh,country_name,weo_2020
global,id,country_name,weo_2020
global,la,country_name,weo_2020
global,my,country_name,weo_2020
global,mm,country_name,weo_2020
global,ph,country_name,weo_2020
global,sg,country_name,weo_2020
global,th,country_name,weo_2020
global,vn,country_name,weo_2020
global,af,country_name,weo_2020
global,bt,country_name,weo_2020
global,ck,country_name,weo_2020
global,fj,country_name,weo_2020
global,pf,country_name,weo_2020
global,ki,country_name,weo_2020
global,mo,country_name,weo_2020
global,mv,country_name,weo_2020
global,nc,country_name,weo_2020
global,pw,country_name,weo_2020
global,pg,country_name,weo_2020
global,ws,country_name,weo_2020
global,sb,country_name,weo_2020
global,tl,country_name,weo_2020
global,to,country_name,weo_2020
global,vu,country_name,weo_2020
global,am,country_name,weo_2020
global,az,country_name,weo_2020
global,ge,country_name,weo_2020
global,kz,country_name,weo_2020
global,kg,country_name,weo_2020
global,tj,country_name,weo_2020
global,tm,country_name,weo_2020
global,uz,country_name,weo_2020
global,ar,country_name,weo_2020
global,bo,country_name,weo_2020
global,br,country_name,weo_2020
global,co,country_name,weo_2020
global,cr,country_name,weo_2020
global,cu,country_name,weo_2020
global,cw,country_name,weo_2020
global,do,country_name,weo_2020
global,ec,country_name,weo_2020
global,sv,country_name,weo_2020
global,gt,country_name,weo_2020
global,ht,country_name,weo_2020
global,hn,country_name,weo_2020
global,jm,country_name,weo_2020
global,ni,country_name,weo_2020
global,pa,country_name,weo_2020
global,py,country_name,weo_2020
global,pe,country_name,weo_2020
global,sr,country_name,weo_2020
global,tt,country_name,weo_2020
global,uy,country_name,weo_2020
global,ve,country_name,weo_2020
global,ai,country_name,weo_2020
global,ag,country_name,weo_2020
global,aw,country_name,weo_2020
global,bs,country_name,weo_2020
global,bb,country_name,weo_2020
global,bz,country_name,weo_2020
global,bm,country_name,weo_2020
global,bq,country_name,weo_2020
global,vg,country_name,weo_2020
global,ky,country_name,weo_2020
global,dm,country_name,weo_2020
global,fk,country_name,weo_2020
global,gf,country_name,weo_2020
global,gd,country_name,weo_2020
global,gp,country_name,weo_2020
global,gy,country_name,weo_2020
global,mq,country_name,weo_2020
global,ms,country_name,weo_2020
global,lc,country_name,weo_2020
global,pm,country_name,weo_2020
global,vc,country_name,weo_2020
global,mf,country_name,weo_2020
global,tc,country_name,weo_2020
global,hk,country_name,weo_2020
global,ru,country_name,weo_2020
global,al,country_name,weo_2020
global,by,country_name,weo_2020
global,ba,country_name,weo_2020
global,mk,country_name,weo_2020
global,gi,country_name,weo_2020
global,xk,country_name,weo_2020
global,me,country_name,weo_2020
global,rs,country_name,weo_2020
global,md,country_name,weo_2020
global,ua,country_name,weo_2020
global,bh,country_name,weo_2020
global,ir,country_name,weo_2020
global,iq,country_name,weo_2020
global,jo,country_name,weo_2020
global,kw,country_name,weo_2020
global,lb,country_name,weo_2020
global,om,country_name,weo_2020
global,qa,country_name,weo_2020
global,sa,country_name,weo_2020
global,sy,country_name,weo_2020
global,ae,country_name,weo_2020
global,ye,country_name,weo_2020
global,gq,country_name,weo_2020
global,bf,country_name,weo_2020
global,bi,country_name,weo_2020
global,cv,country_name,weo_2020
global,cf,country_name,weo_2020
global,td,country_name,weo_2020
global,km,country_name,weo_2020
global,dj,country_name,weo_2020
global,gm,country_name,weo_2020
global,gn,country_name,weo_2020
global,gw,country_name,weo_2020
global,ls,country_name,weo_2020
global,lr,country_name,weo_2020
global,mg,country_name,weo_2020
global,mw,country_name,weo_2020
global,ml,country_name,weo_2020
global,mr,country_name,weo_2020
global,re,country_name,weo_2020
global,rw,country_name,weo_2020
global,st,country_name,weo_2020
global,sc,country_name,weo_2020
global,sl,country_name,weo_2020
global,so,country_name,weo_2020
global,ug,country_name,weo_2020
developing economies,dz,country_name,weo_2020
developing economies,eg,country_name,weo_2020
developing economies,ly,country_name,weo_2020
developing economies,ma,country_name,weo_2020
developing economies,tn,country_name,weo_2020
developing economies,ao,country_name,weo_2020
developing economies,bj,country_name,weo_2020
developing economies,bw,country_name,weo_2020
developing economies,cm,country_name,weo_2020
developing economies,cg,country_name,weo_2020
developing economies,ci,country_name,weo_2020
developing economies,cd,country_name,weo_2020
developing economies,er,country_name,weo_2020
developing economies,et,country_name,weo_2020
developing economies,ga,country_name,weo_2020
developing economies,gh,country_name,weo_2020
developing economies,ke,country_name,weo_2020
developing economies,mu,country_name,weo_2020
developing economies,mz,country_name,weo_2020
developing economies,na,country_name,weo_2020
developing economies,ne,country_name,weo_2020
developing economies,ng,country_name,weo_2020
developing economies,sn,country_name,weo_2020
developing economies,za,country_name,weo_2020
developing economies,ss,country_name,weo_2020
developing economies,sd,country_name,weo_2020
developing economies,tz,country_name,weo_2020
developing economies,tg,country_name,weo_2020
developing economies,zm,country_name,weo_2020
developing economies,zw,country_name,weo_2020
developing economies,bd,country_name,weo_2020
developing economies,cn,country_name,weo_2020
developing economies,in,country_name,weo_2020
developing economies,mn,country_name,weo_2020
developing economies,np,country_name,weo_2020
developing economies,pk,country_name,weo_2020
developing economies,lk,country_name,weo_2020
developing economies,tw,country_name,weo_2020
developing economies,bn,country_name,weo_2020
developing economies,kh,country_name,weo_2020
developing economies,id,country_name,weo_2020
developing economies,la,country_name,weo_2020
developing economies,my,country_name,weo_2020
developing economies,mm,country_name,weo_2020
developing economies,ph,country_name,weo_2020
developing economies,sg,country_name,weo_2020
developing economies,th,country_name,weo_2020
developing economies,vn,country_name,weo_2020
developing economies,af,country_name,weo_2020
developing economies,bt,country_name,weo_2020
developing economies,ck,country_name,weo_2020
developing economies,fj,country_name,weo_2020
developing economies,pf,country_name,weo_2020
developing economies,ki,country_name,weo_2020
developing economies,mo,country_name,weo_2020
developing economies,mv,country_name,weo_2020
developing economies,nc,country_name,weo_2020
developing economies,pw,country_name,weo_2020
developing economies,pg,country_name,weo_2020
developing economies,ws,country_name,weo_2020
developing economies,sb,country_name,weo_2020
developing economies,tl,country_name,weo_2020
developing economies,to,country_name,weo_2020
developing economies,vu,country_name,weo_2020
developing economies,am,country_name,weo_2020
developing economies,az,country_name,weo_2020
developing economies,ge,country_name,weo_2020
developing economies,kz,country_name,weo_2020
developing economies,kg,country_name,weo_2020
developing economies,tj,country_name,weo_2020
developing economies,tm,country_name,weo_2020
developing economies,uz,country_name,weo_2020
developing economies,ar,country_name,weo_2020
developing economies,bo,country_name,weo_2020
developing economies,br,country_name,weo_2020
developing economies,co,country_name,weo_2020
developing economies,cr,country_name,weo_2020
developing economies,cu,country_name,weo_2020
developing economies,cw,country_name,weo_2020
developing economies,do,country_name,weo_2020
developing economies,ec,country_name,weo_2020
developing economies,sv,country_name,weo_2020
developing economies,gt,country_name,weo_2020
developing economies,ht,country_name,weo_2020
developing economies,hn,country_name,weo_2020
developing economies,jm,country_name,weo_2020
developing economies,ni,country_name,weo_2020
developing economies,pa,country_name,weo_2020
developing economies,py,country_name,weo_2020
developing economies,pe,country_name,weo_2020
developing economies,sr,country_name,weo_2020
developing economies,tt,country_name,weo_2020
developing economies,uy,country_name,weo_2020
developing economies,ve,country_name,weo_2020
developing economies,ai,country_name,weo_2020
developing economies,ag,country_name,weo_2020
developing economies,aw,country_name,weo_2020
developing economies,bs,country_name,weo_2020
developing economies,bb,country_name,weo_2020
developing economies,bz,country_name,weo_2020
developing economies,bm,country_name,weo_2020
developing economies,bq,country_name,weo_2020
developing economies,vg,country_name,weo_2020
developing economies,ky,country_name,weo_2020
